idNode,Dejicstra,Levit,AstarEuklid,AstarManh,AstarCheb
3936336488,0.17852091789245605,14.882318019866943,0.17917895317077637,0.183013916015625,0.17704010009765625
1020794869,0.11803698539733887,13.682367086410522,0.11874008178710938,0.11217284202575684,0.11654901504516602
1191451422,0.11638116836547852,13.512998104095459,0.15568804740905762,0.13273310661315918,0.1363368034362793
598053054,0.08067488670349121,14.738335132598877,0.08708405494689941,0.12355494499206543,0.07523608207702637
1499211450,0.09350299835205078,13.943902969360352,0.10617303848266602,0.12946200370788574,0.09314990043640137
1324089623,0.12208700180053711,12.970367193222046,0.10817790031433105,0.09767699241638184,0.10310792922973633
1020794856,0.08414292335510254,11.497944116592407,0.08861899375915527,0.0941460132598877,0.12893295288085938
1191451407,0.14172101020812988,13.537063837051392,0.15323805809020996,0.12852716445922852,0.16066503524780273
211558934,0.06502294540405273,11.473142147064209,0.07880997657775879,0.05958104133605957,0.07508206367492676
4138075751,0.08217096328735352,11.67228078842163,0.08110809326171875,0.096466064453125,0.09826207160949707
4364969964,0.21191692352294922,11.906632900238037,0.6762840747833252,0.7235159873962402,0.42727017402648926
3054250727,0.04421401023864746,13.282118082046509,0.05052304267883301,0.03850412368774414,0.044645071029663086
4050310152,0.034193992614746094,11.457085847854614,0.06366801261901855,0.06153297424316406,0.061721086502075195
211563526,0.169266939163208,11.403691053390503,0.23508787155151367,0.22455096244812012,0.22544384002685547
479475241,0.019216060638427734,13.739022016525269,0.0314328670501709,0.027974843978881836,0.022351980209350586
4050663628,0.05006098747253418,12.080792903900146,0.07177591323852539,0.04737520217895508,0.061235904693603516
3525589745,0.0909891128540039,13.956521034240723,0.06777095794677734,0.09199905395507812,0.08289003372192383
4391453375,0.08440279960632324,11.485958814620972,0.09487700462341309,0.07803988456726074,0.08227705955505371
1501841356,0.2112588882446289,11.694730997085571,0.21823406219482422,0.20626592636108398,0.2105398178100586
1132218533,0.11925697326660156,13.592388153076172,0.15687894821166992,0.1400740146636963,0.12289309501647949
1498958229,0.10664796829223633,12.440408945083618,0.14733505249023438,0.12190794944763184,0.10284709930419922
1132218946,0.030883073806762695,11.46585488319397,0.019762039184570312,0.025888919830322266,0.019225120544433594
1132219105,0.11806893348693848,11.357208967208862,0.11448979377746582,0.12066793441772461,0.1199491024017334
1132219195,0.11853599548339844,13.261965990066528,0.15204811096191406,0.11537790298461914,0.12037992477416992
1132219336,0.05530691146850586,11.596436977386475,0.04607510566711426,0.0485079288482666,0.06594991683959961
1132219571,0.03130602836608887,13.046643018722534,0.03643178939819336,0.024393081665039062,0.04138493537902832
213667250,0.16727900505065918,10.584384202957153,0.16994905471801758,0.15916705131530762,0.11115503311157227
3848564857,0.18503308296203613,10.256030082702637,0.21330904960632324,0.18133807182312012,0.161452054977417
1576292949,0.10088586807250977,12.11672306060791,0.1333179473876953,0.10287117958068848,0.10558891296386719
1576293038,0.0934910774230957,10.637778043746948,0.10538482666015625,0.10392093658447266,0.09948420524597168
1576293111,0.11841988563537598,11.884569883346558,0.09216618537902832,0.12472105026245117,0.10974693298339844
1576293188,0.10451507568359375,10.762970209121704,0.0885322093963623,0.11290097236633301,0.13377594947814941
1576293363,0.12803888320922852,10.386619091033936,0.4920361042022705,0.13838505744934082,0.12989401817321777
1576293454,0.09914684295654297,12.017335176467896,0.1585538387298584,0.11667418479919434,0.11926412582397461
1576293594,0.14412999153137207,11.10083293914795,0.15665602684020996,0.13060498237609863,0.15216302871704102
4916008886,0.03200697898864746,12.23507308959961,0.031868934631347656,0.026947021484375,0.02751898765563965
617634112,0.19121098518371582,10.594313859939575,0.19988083839416504,0.20307087898254395,0.20004606246948242
1895586617,0.019200801849365234,10.89775800704956,0.010947942733764648,0.006818056106567383,0.008702993392944336
3812384326,0.19507598876953125,11.967198133468628,0.17965912818908691,0.1766350269317627,0.20222091674804688
1569742522,0.12177491188049316,11.83540391921997,0.14509201049804688,0.12901592254638672,0.12668800354003906
